-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         0.58%       4.295ms         3.95%      29.049ms      27.745us       1.142ms        18.56%       1.151ms       1.099us           0 B         -24 B           0 B           0 B          1047  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     810.720us        13.17%     810.720us       1.312us           0 B           0 B           0 B           0 B           618  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     690.195us        11.21%     690.195us       1.041us           0 B           0 B           0 B           0 B           663  
                                              aten::mul         0.48%       3.524ms         0.81%       5.953ms      12.640us     560.569us         9.11%     564.186us       1.198us           0 B           0 B     757.50 KB     757.50 KB           471  
                                             aten::add_         0.26%       1.893ms         1.93%      14.188ms      33.781us     446.499us         7.25%     451.936us       1.076us           0 B           0 B           0 B           0 B           420  
                                             aten::roll         0.22%       1.650ms         1.03%       7.565ms      21.013us     404.221us         6.57%     656.795us       1.824us           0 B           0 B     720.00 KB    -384.00 KB           360  
void at::native::roll_cuda_kernel<float>(float const...         0.00%       0.000us         0.00%       0.000us       0.000us     404.221us         6.57%     404.221us       1.123us           0 B           0 B           0 B           0 B           360  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     305.818us         4.97%     305.818us       1.274us           0 B           0 B           0 B           0 B           240  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     301.836us         4.90%     301.836us       0.860us           0 B           0 B           0 B           0 B           351  
                                              aten::div         0.31%       2.288ms         1.58%      11.636ms      44.075us     288.964us         4.69%     293.380us       1.111us           0 B           0 B     484.50 KB     484.50 KB           264  
