epoch,global_step,learning_rate,generator_learning_rate,L_total,L_K,L_generator,L_multi,L_rec,L_forecast,L_var,L_stability,L_physics,L_mass,L_operator,val_rollout,val_reconstruction,val_mass,val_operator,epoch_time,samples_per_sec,peak_gpu_memory
1,119,0.001,0.005,1.329071341312759,7.224662199282118e-05,0.040998701819248876,0.006043286077165345,0.31892070555189445,0.31893969628794816,0.0016648698092813859,0.0002653949443521212,0.0,0.031026082078901396,0.007982575542228872,0.00034144441735753345,0.00035554967554552217,3.534105561855194e-05,9.466076880926266e-06,26.3691139430739,143.3495265772043,2906962432
2,238,0.001,0.005,0.0004163864653843342,4.556175402156414e-08,3.9874136416107866e-05,3.891069181725797e-06,8.742201585346025e-05,9.666812700396848e-05,5.497646203299088e-09,5.03794694896754e-06,0.0,1.3208192994983784e-05,2.425607449103149e-06,0.0001858546408281351,0.00014661165803859366,2.196649898212941e-05,3.870792098344585e-06,25.609989726915956,147.598653506184,2907331072
3,357,0.001,0.005,0.0011914437981975319,1.238243427604466e-08,2.2813361085364323e-05,1.0155144210816063e-06,0.0002907019676020056,0.0002923563430264405,9.264687024470832e-08,4.611299145980165e-06,0.0,6.34630272860892e-05,7.334703530783594e-06,0.000221718203032478,0.0002592604393915584,8.825228608094178e-05,6.367484803333701e-06,25.362157418043353,149.04094859496462,2906962432
4,476,0.001,0.005,0.00025865210298135896,8.701618245942531e-09,2.236853697420056e-05,6.967085696896662e-07,5.769379131379537e-05,5.953626686561774e-05,4.266496506278162e-07,3.786660085020543e-06,0.0,7.093223278403341e-06,1.523200332711601e-06,3.8355191714972966e-05,2.6997352237924046e-05,3.6279979488946472e-06,7.834915203645886e-07,25.003278083982877,151.18017674736305,2906962432
5,595,0.001,0.005,0.006682682305231947,5.9339744512818646e-08,5.3098130377259585e-05,4.5506029521304835e-06,0.0016518001305278163,0.001658239179748485,0.0,3.449835311965207e-06,0.0,0.00023728189445093795,4.132036206414264e-05,9.068947029369328e-05,9.23964698900125e-05,5.530555673820864e-06,2.411450743909968e-06,24.82232431299053,152.28227430828355,2906962432
6,714,0.001,0.005,0.00039768916227985373,1.4314018633057164e-08,3.123361678999139e-05,1.1108663838534822e-06,8.856954361252344e-05,9.342970906848595e-05,0.0,2.2099236612457725e-06,0.0,8.074585113559257e-06,2.318238705416786e-06,7.538377422384829e-05,3.929960290579835e-05,7.304081242680348e-06,1.138057925908513e-06,24.919369172072038,151.6892331382277,2906962432
7,833,0.001,0.005,9.499258657722738e-05,1.3174365229075655e-08,3.151729460494598e-05,1.0360069090797133e-06,1.3209161059219494e-05,1.740017405753615e-05,0.0,1.7143437821566954e-06,0.0,2.523003934309975e-06,4.006338469008807e-07,1.460145793403388e-05,2.0986257316378344e-05,3.875017104822594e-06,5.623865850642081e-07,24.881987657980062,151.91712382301145,2906962432
8,952,0.001,0.005,9.50903277342188e-05,1.4962593854099838e-08,3.3693225796688005e-05,1.1905117161111091e-06,1.2730512479186199e-05,1.669869032594814e-05,6.394423378099288e-09,1.4207143611096032e-06,0.0,2.466784015812558e-06,3.7858776244423785e-07,1.8976564405463815e-05,2.7317604127303985e-05,2.6105155534477965e-06,7.421309116277067e-07,24.58062584802974,153.77964838527436,2906962432
9,1071,0.001,0.005,0.00010705063585807919,1.7437243141468376e-08,3.6051713394323884e-05,1.4133210529339354e-06,1.5181712223763242e-05,1.883897971383126e-05,0.0,1.1345931435248795e-06,0.0,2.487637920764173e-06,4.308758860966322e-07,2.2218363526571055e-05,1.5172277450065372e-05,3.1192565997917837e-06,4.2592601219093053e-07,24.56805873895064,153.85831009949192,2906962432
10,1190,0.001,0.005,0.000488653478167074,2.5462330538197246e-08,4.089616526105495e-05,2.062951756112164e-06,0.00010921417341075429,0.00011254308283145456,0.0,9.142756543614841e-07,0.0,7.425574864899596e-06,2.7790036712142636e-06,0.00013529773935997148,0.00015530827568866135,1.6346073508494944e-05,3.935556328759135e-06,24.612644140026532,153.57959829487567,2906962432
