epoch,global_step,learning_rate,generator_learning_rate,L_total,L_K,L_generator,L_multi,L_rec,L_forecast,L_var,L_stability,L_physics,L_mass,L_operator,val_rollout,val_reconstruction,val_mass,val_operator,epoch_time,samples_per_sec,peak_gpu_memory
1,119,0.001,0.005,1.329071341312759,7.224662199282118e-05,0.040998701819248876,0.006043286077165345,0.31892070555189445,0.31893969628794816,0.0016648698092813859,0.0002653949443521212,0.0,0.031026082078901396,0.007982575542228872,0.00034144441735753345,0.00035554967554552217,3.534105561855194e-05,9.466076880926266e-06,26.085501894005574,144.9080801803028,2906962432
2,238,0.001,0.005,0.00041754606377614276,4.5558715354538904e-08,3.987278865082694e-05,3.890768924681878e-06,8.763810412597315e-05,9.68745697589059e-05,5.466342261849494e-09,5.0820560647799715e-06,3.120765928860425e-07,1.3172777419510696e-05,2.4310522247914276e-06,0.00018982151876636115,0.00014996464818804747,2.2750574925382916e-05,3.954246433511885e-06,25.455674161901698,148.49341549387628,2907331072
3,357,0.001,0.005,0.0011995207881290101,1.2430284141208288e-08,2.2839188080517546e-05,1.0192732648772622e-06,0.00029196311700005066,0.00029364092944272446,9.198218649351801e-08,4.667195155278062e-06,2.946610722815013e-06,6.629966793495379e-05,7.365600135421523e-06,0.00019439588955027007,0.00022792770178057254,8.113735336034248e-05,5.605045433705007e-06,25.071827947977,150.76682912164773,2906962432
4,476,0.001,0.005,0.0002495787113229867,8.620555690332708e-09,2.231827379281635e-05,6.903338177435986e-07,5.534137129890191e-05,5.7122399995076374e-05,4.2615020425901525e-07,3.836564172873358e-06,5.173334863345175e-07,7.158657663913564e-06,1.4635671083283942e-06,3.4904979561577506e-05,2.633502353135208e-05,3.8186270709654e-06,7.638306983824891e-07,25.33642313396558,149.19232995176006,2906962432
5,595,0.001,0.005,0.006330930530253759,5.295425968244615e-08,4.9326731600101404e-05,4.074132172920347e-06,0.0015573243470585329,0.001567984602313055,0.0,3.352058228248824e-06,2.2449493892131306e-05,0.00024161802352022345,3.90006501314178e-05,0.00010557240422626602,0.0001011253211929995,9.68890430418209e-06,2.6308878789547763e-06,25.04466791707091,150.93033026097672,2906962432
6,714,0.001,0.005,0.0002565781848345607,1.3160532136849585e-08,3.051836970299187e-05,1.023880952950561e-06,5.349226548643191e-05,5.807681338805071e-05,0.0,2.203877760087106e-06,6.403454617780139e-07,4.970970415718237e-06,1.4324842020619024e-06,5.781276517414621e-05,2.7989223391549395e-05,5.1764051677526454e-06,8.428774078441035e-07,24.780250401003286,152.54083146177402,2906962432
7,833,0.001,0.005,9.517759751779811e-05,1.3264742014966123e-08,3.1521561617236805e-05,1.0399639996220777e-06,1.3235220409576811e-05,1.7280924359472622e-05,0.0,1.7436747273956716e-06,3.5618658799533494e-07,2.569955949852965e-06,3.9826561677482605e-07,2.8337576874210276e-05,1.1204317923416273e-05,3.4161891454416382e-06,3.784994430047629e-07,24.431829752982594,154.71620579455555,2906962432
8,952,0.001,0.005,0.00010299987368939799,1.4955535104512645e-08,3.363055780436967e-05,1.1918991088942488e-06,1.4580005205619962e-05,1.8604933444371142e-05,6.823243874201561e-09,1.4491449620537524e-06,4.550884573206901e-07,2.827301320139283e-06,4.2333051786564675e-07,1.573690543799395e-05,1.9773204405196123e-05,2.5419034817072577e-06,5.342808257020287e-07,24.30337201897055,155.53397269520605,2906962432
9,1071,0.001,0.005,0.00010514238300467176,1.7304602456906698e-08,3.594376577037293e-05,1.4028536621702538e-06,1.4548924669272896e-05,1.833551648709179e-05,0.0,1.16063334444719e-06,4.906601477482126e-07,2.6523401612831986e-06,4.1428576214312916e-07,1.50094228003928e-05,2.177982330197535e-05,3.40128436521679e-06,5.590639700260778e-07,24.635251538013108,153.43866061880146,2906962432
10,1190,0.001,0.005,0.002442300455119934,7.475797484925418e-08,6.87951802059875e-05,5.758548599183399e-06,0.0005857803573090923,0.0005885021764062537,0.0,1.0428093302621958e-06,1.3244053275446365e-05,5.8745898962707355e-05,1.483217478977244e-05,0.0003609897608319963,0.0003898923313023434,9.687036624763138e-05,9.640710235154464e-06,25.18365334405098,150.09736468171852,2906962432
11,1309,0.001,0.005,0.0014210959095089012,5.155680098718156e-08,5.605503350524626e-05,4.122617265575509e-06,0.00033525387667521103,0.0003388397305065559,0.0,1.2547897640423215e-06,8.431412568141857e-06,3.359346765040918e-05,8.5635951903001e-06,0.0002634628470765338,0.00025062098533713394,9.14968981565575e-06,6.21547745876818e-06,25.02842196705751,151.0282991462765,2906962432
12,1428,0.001,0.005,0.00023188808785533415,3.197551557429997e-08,4.431052835936604e-05,2.6448813682859677e-06,4.283763221566298e-05,4.755237122668722e-05,6.569449858885953e-10,1.0796451637741475e-06,1.3677842466605066e-06,5.714278365914613e-06,1.1246428673879199e-06,6.219146058096417e-05,2.4417923868029557e-05,1.204945179086367e-05,7.588200311320612e-07,24.748712701024488,152.73521680356023,2906962432
13,1547,0.001,0.005,0.0006396248994552822,4.661679451815371e-08,5.2031362683342266e-05,3.832718867530785e-06,0.0001413611682004384,0.0001454177172423375,0.0,9.191906394609384e-07,6.231794268098874e-06,2.75448767391185e-05,3.6140946013758713e-06,0.0006868049995751963,0.0005264567444100976,4.0120155331567814e-05,1.378712670754924e-05,24.622868172009476,153.51582819652947,2906962432
14,1666,0.001,0.005,0.6612998845528753,9.212874378534099e-05,0.054107729261821114,0.0072371097772490605,0.14632347941438043,0.14760698878043702,0.0,0.0010949560157837831,0.004655371484267846,0.019599473381275805,0.0036773840400634245,0.002815139741592464,0.003800809605135804,0.00028226867739465975,9.240964247423801e-05,24.909474458894692,151.74948818120228,2906962432
15,1785,0.001,0.005,0.002609187794452602,5.205117156913695e-07,0.00028754387804794877,4.331028315598372e-05,0.0005507939325527919,0.0005435658985146484,0.0,7.148163375935832e-05,3.863505351315354e-05,0.00017888627695721986,1.428899060854785e-05,0.00014376858349091242,0.0001231301174682033,1.4117960015591095e-05,3.5054418731306215e-06,24.613517805933952,153.57414693029773,2906962432
16,1904,0.001,0.005,0.0006594031381792827,1.64326206596155e-07,7.697689977090155e-05,1.385299964226159e-05,0.00013218064621219007,0.00013824901227881177,0.0,9.671954736674067e-05,4.024637939783999e-06,1.6477338900711007e-05,3.6458507982089903e-06,7.100201754448271e-05,5.230624348249486e-05,1.0866788713450488e-05,1.5574754169869093e-06,24.502004923997447,154.27308955839118,2906962432
17,2023,0.001,0.005,0.00029360371934084923,1.4433902345561644e-07,6.466253291662763e-05,1.2197517166439278e-05,4.526478086417127e-05,5.310124926076261e-05,0.0,5.8427944225961316e-05,1.8269590117400248e-06,7.802568666794629e-06,1.3322263919054956e-06,3.599606787334085e-05,4.6198562094581404e-05,8.557600042855657e-06,1.2200624160825446e-06,25.13188620598521,150.40653809341956,2906962432
18,2142,0.001,0.005,0.000230879187588543,1.4425886598671179e-07,6.230607214285229e-05,1.2140283402076752e-05,3.0471198074073067e-05,3.8648081822935234e-05,0.0,3.837380396294908e-05,2.072350328901285e-06,9.458349705666824e-06,9.034019388396007e-07,4.747424730643009e-05,1.875828669480619e-05,6.216846017672478e-06,6.451951641056873e-07,25.01635222695768,151.1011663773531,2906962432
19,2261,0.001,0.005,0.0001773923372008429,1.45702463985994e-07,6.108909168418635e-05,1.2233393768145192e-05,1.7756780490975073e-05,2.6334869460062316e-05,0.0,2.5979075394509232e-05,9.095473793752203e-07,3.988573065865638e-06,5.591638310104625e-07,3.161014491135055e-05,2.8299847465296765e-05,1.1499907088277507e-05,7.707602034792044e-07,25.400900539942086,148.81362155078216,2906962432
20,2380,0.001,0.005,0.00016286356170432613,1.4781658838276277e-07,6.0650820619976096e-05,1.2429174553266007e-05,1.4342966885783305e-05,2.2991983979606566e-05,0.0,1.857599682042501e-05,6.790739806672325e-07,2.9387874034847496e-06,4.565824998514121e-07,2.0987701455375092e-05,1.415181692382681e-05,1.7800741873196827e-06,4.2890007015168e-07,24.96816991700325,151.39275375668726,2906962432
