epoch,global_step,optimizer_update_step,L_total,L_v0_5,L_K,L_generator,L_multi,L_rec,L_forecast,L_var,L_stability,L_mass,L_operator,L_JEPA_one,L_JEPA_multi,val_rollout,val_jepa,tau,epoch_time,samples_per_sec,peak_gpu_memory
1,119,119,0.021279666405685477,0.021279666405685477,5.565141287708309e-07,0.0002690604950961036,4.3690116019216095e-05,0.005168219663763435,0.005293053120094459,0.0,1.2379630559956442e-06,0.00038586513423125187,0.0001281556853203234,0.0,0.0,2.1908109556534327e-05,0.0,0.9960528910802331,25.382131314021535,148.92366418070895,2868835328
2,238,238,0.00013039009569356928,0.00013039009569356928,1.5581159948577273e-07,5.766543067428752e-05,1.310024354241914e-05,7.253627868690442e-06,1.5922566358336966e-05,0.0,9.333126266187358e-08,8.965355162833701e-08,2.425811465727555e-07,0.0,0.0,1.821567368876588e-05,0.0,0.9961062303899596,25.05606384400744,150.86168456200065,2890137088
3,357,357,0.00012949267159759377,0.00012949267159759377,1.5504046518438532e-07,5.741343516597731e-05,1.3030752293715037e-05,7.153773957431666e-06,1.5769239133405597e-05,0.0,5.419156517484199e-08,4.1482845945126796e-08,2.3964746817671853e-07,0.0,0.0,2.3448909095826646e-05,0.0,0.9961595696996862,24.970022010966204,151.38152454731195,2889244160
4,476,476,0.00012965149031496218,0.00012965149031496218,1.5484185674510805e-07,5.7252110308528974e-05,1.3019580409197487e-05,7.2071386177663164e-06,1.588563365330821e-05,0.0,2.9110306039629703e-08,4.1015786275879716e-08,2.4103731697150147e-07,0.0,0.0,1.5299394016481182e-05,0.0,0.9962129090094128,25.713105323025957,147.00674821313896,2890137088
5,595,595,0.00012889339310787225,0.00012889339310787225,1.5453169219403997e-07,5.7163441508439266e-05,1.2991610708047153e-05,7.0773593675026114e-06,1.570686725716331e-05,0.0,1.894776526905614e-08,3.5956997511153465e-08,2.3716939462506812e-07,0.0,0.0,2.1118735769830113e-05,0.0,0.9962662483191393,24.904746922082268,151.7782939865328,2889244160
6,714,714,0.00013089915181611168,0.00013089915181611168,1.5450612030986483e-07,5.718819104783636e-05,1.297642689514856e-05,7.568423064151796e-06,1.621351718106313e-05,0.0,1.7595729820884968e-08,1.296757461500179e-07,2.4993504884530914e-07,0.0,0.0,3.0252183032211004e-05,0.0,0.996319587628866,24.90660924592521,151.7669451781526,2890137088
7,833,833,0.00013286088087913832,0.00013286088087913832,1.5426812022344176e-07,5.7071949344217065e-05,1.2947302011573729e-05,8.057399993058955e-06,1.6783811977359825e-05,0.0,8.404211809589043e-09,2.1135484115785841e-07,2.619253308917934e-07,0.0,0.0,1.5718958890093268e-05,0.0,0.9963729269385926,24.927984853973612,151.63680586870439,2889244160
8,952,952,0.00013418517151857337,0.00013418517151857337,1.5401613343785944e-07,5.715620966853633e-05,1.2924021556351344e-05,8.468593525187181e-06,1.7016752733392874e-05,0.0,6.431140494354162e-09,1.2557059887793184e-07,2.7133241876190033e-07,0.0,0.0,4.7904960852715055e-05,0.0,0.9964262662483191,24.66397404600866,153.259973147422,2890137088
9,1071,1071,0.00020664576100734943,0.00020664576100734943,1.5578307052574356e-07,5.87400125195494e-05,1.306734931724215e-05,2.565065984700119e-05,3.496759428734159e-05,0.0,7.246572529466199e-09,1.6616322058465302e-06,7.010791671712435e-07,0.0,0.0,0.00023120634640300914,0.0,0.9964796055580457,24.701671444927342,153.0260819972265,2889244160
10,1190,1190,0.001675558171084732,0.001675558171084732,1.9284599805254037e-07,8.274864253098953e-05,1.590921997592973e-05,0.0003733538309461437,0.0003884786687435326,0.0,1.9442134141695714e-07,0.00019692336921315275,9.264365237786526e-06,0.0,0.0,0.0002266492131249314,0.0,0.9965329448677723,24.40215890703257,154.9043268835785,2890137088
11,1309,1309,0.0006266974559159722,0.0006266974559159722,1.4467039827878874e-07,6.453233641521788e-05,1.2037524585913935e-05,0.00012519319232851366,0.0001370179877321115,0.0,1.530315253722332e-07,6.436829725793186e-05,3.1703665047128983e-06,0.0,0.0,0.000194821715454704,0.0,0.9965862841774988,24.669138071942143,153.22789101818057,2889244160
12,1428,1428,0.0004160597591190328,0.0004160597591190328,1.4075432379704868e-07,6.379997196808092e-05,1.1661628030187255e-05,7.672493533362516e-05,8.706904171809564e-05,0.0,4.7382187435042194e-08,4.019970145948781e-06,1.9954482440495413e-06,0.0,0.0,0.00013576046912930906,0.0,0.9966396234872255,24.608329521957785,153.6065256533216,2890137088
13,1547,1547,0.0011629453299089123,0.0011629453299089123,1.6274166041488155e-07,7.767834810437831e-05,1.3296824852264889e-05,0.00025352428260871587,0.00027142376608151216,0.0,1.2387148530851293e-07,3.6530744773458947e-05,6.479758939777548e-06,0.0,0.0,0.0004962358709668652,0.0,0.9966929627969521,24.801468322984874,152.41033114546963,2889244160
14,1666,1666,0.00023018818920867508,0.00023018818920867508,1.1981331824615524e-07,5.652389179443369e-05,1.0006409824652432e-05,3.340705486523264e-05,4.232003287975516e-05,0.0,3.8296809446938765e-08,9.476062372027387e-06,8.92226584617809e-07,0.0,0.0,3.3179450959626895e-05,0.0,0.9967463021066786,24.730836300062947,152.84561970071263,2890137088
15,1785,1785,0.0008047216713536905,0.0008047216713536905,1.459192350780757e-07,7.003293161418427e-05,1.1931428544961837e-05,0.0001711849042511035,0.00018260312722761816,0.0,6.955196873506175e-08,1.1153431775696051e-05,4.3312862888621455e-06,0.0,0.0,0.0005181765566313906,0.0,0.9967996414164052,26.640026506967843,141.89175070870596,2889244160
16,1904,1904,0.5396331984096419,0.5396331984096419,0.00023616234637436852,0.13703121511532343,0.017396859881221274,0.09227515510209496,0.09016972307396669,0.0,0.0037862191236330595,0.00921583447785384,0.0023028031504297537,0.0,0.0,0.021654136798211505,0.0,0.9968529807261318,24.50495776394382,154.2544996980908,2890137088
17,2023,2023,0.009323201642406208,0.009323201642406208,2.98294017749781e-06,0.0014807979520699798,0.0002359596273910178,0.001775617459782759,0.0018731971666316634,0.0,0.00010473873837288622,0.00025179678956942914,4.519490034162931e-05,0.0,0.0,0.00019362013581918463,0.0,0.9969063200358583,24.804222421953455,152.39340849703228,2889244160
18,2142,2142,0.0005130033102379274,0.0005130033102379274,4.967716692768379e-07,9.110563306234009e-05,4.095906737752052e-05,7.695794414584747e-05,8.849380938622672e-05,0.0,3.488919338023243e-05,2.328733430009119e-05,2.1643847979984932e-06,0.0,0.0,7.787312830000051e-05,0.0,0.996959659345585,25.25723219802603,149.66010409863614,2890137088
19,2261,2261,0.00035915847066371015,0.00035915847066371015,4.757052927685898e-07,8.784267264042572e-05,3.930312627864873e-05,4.122425385243592e-05,5.285726827366041e-05,0.0,1.7028431620303463e-05,1.0659047393587162e-05,1.1807405449852773e-06,0.0,0.0,4.229765133156131e-05,0.0,0.9970129986553116,24.774564198916778,152.5758422892974,2889244160
20,2380,2380,0.0002921102841682831,0.0002921102841682831,4.6797349938739016e-07,8.535324579699793e-05,3.87107464477171e-05,2.586972496785512e-05,3.740654801298487e-05,0.0,1.2621021084703023e-05,4.486833094950598e-06,7.777868741295943e-07,0.0,0.0,5.62926060714138e-05,0.0,0.9970663379650381,27.727371226996183,136.32738455637227,2890137088
21,2499,2499,0.00026609076980979395,0.00026609076980979395,4.6563535606187615e-07,8.436353603395185e-05,3.850685785033016e-05,1.965478014238807e-05,3.166532791818667e-05,0.0,1.048739040010977e-05,2.186068156463859e-06,6.085544131319838e-07,0.0,0.0,4.065869877757948e-05,0.0,0.9971196772747647,25.30612975405529,149.37092462328252,2889244160
22,2618,2618,0.00024935536895922964,0.00024935536895922964,4.6476675758337175e-07,8.280171748502033e-05,3.844659518565682e-05,1.5929697730354273e-05,2.8015276243591128e-05,0.0,8.759287812661752e-06,1.6423914830161337e-06,5.066963561307242e-07,0.0,0.0,3.660313731026171e-05,0.0,0.9971730165844913,24.418132828897797,154.80299114134291,2890137088
23,2737,2737,0.00024045772204377624,0.00024045772204377624,4.640092228443777e-07,8.222629451199074e-05,3.8411117581682647e-05,1.3903356917369089e-05,2.6046131027951128e-05,0.0,7.64173200637242e-06,9.594965736899516e-07,4.5066729738224123e-07,0.0,0.0,3.438464506568077e-05,0.0,0.9972263558942178,24.8632651779335,152.03152011405177,2889244160
24,2856,2856,0.00023666409718331007,0.00023666409718331007,4.650922511804089e-07,8.161199123909076e-05,3.8532230731410286e-05,1.3074125137464044e-05,2.526480854838771e-05,0.0,6.412512272507508e-06,5.898228477519451e-07,4.273387020398644e-07,0.0,0.0,3.9015666420926294e-05,0.0,0.9972796952039444,24.853103070054203,152.09368380862534,2890137088
25,2975,2975,0.0002319518434223793,0.0002319518434223793,4.662903145356929e-07,8.070375814217158e-05,3.866125531088088e-05,1.202191694078489e-05,2.433071207845209e-05,0.0,5.681550825371502e-06,5.309679628291113e-07,3.983982198993092e-07,0.0,0.0,3.704334554814046e-05,0.0,0.997333034513671,24.950535019044764,151.49975730439138,2889244160
26,3094,3094,0.00023308415686534273,0.00023308415686534273,4.674556407133991e-07,8.090649846640647e-05,3.878239026538308e-05,1.22118116965919e-05,2.4509383386685316e-05,0.0,4.986455822473598e-06,6.208850577206162e-07,4.010454147877652e-07,0.0,0.0,5.1874302707368596e-05,0.0,0.9973863738233976,24.78691696410533,152.4998048556797,2890137088
27,3213,3213,0.00023289799369026527,0.00023289799369026527,4.7119767678229853e-07,8.023161130492877e-05,3.912714868006309e-05,1.213675452533978e-05,2.4525349850091276e-05,0.0,4.321505855928297e-06,5.251710405068166e-07,3.974706823745687e-07,0.0,0.0,2.8922677648508744e-05,0.0,0.9974397131331242,25.37595010304358,148.95993981114538,2889244160
28,3332,3332,0.00022973198789817394,0.00022973198789817394,4.7401375551335005e-07,7.970481023818215e-05,3.9362288090935046e-05,1.144748269628811e-05,2.369545450188939e-05,0.0,3.8205279502613444e-06,4.2341091118210687e-07,3.798867278455584e-07,0.0,0.0,3.3250863115037126e-05,0.0,0.9974930524428507,24.272039090981707,155.73475247922048,2890137088
29,3451,3451,0.0002304652455865243,0.0002304652455865243,4.773296307265564e-07,7.981136918595188e-05,3.9668333962764195e-05,1.1400391088466642e-05,2.375154026161735e-05,0.0,3.46857134938844e-06,5.667717320023104e-07,3.790283173618875e-07,0.0,0.0,4.5941525483309914e-05,0.0,0.9975463917525773,24.736866622930393,152.8083591838606,2889244160
30,3570,3570,0.00023138997703667474,0.00023138997703667474,4.810436279820919e-07,7.967161717325715e-05,3.99764151162734e-05,1.1463052806715178e-05,2.3950193733393913e-05,0.0,3.022975910204526e-06,3.9932584877954437e-07,3.7914460838008997e-07,0.0,0.0,2.4586354118669295e-05,0.0,0.9975997310623039,24.63344344100915,153.44992303053942,2890137088
31,3689,3689,0.0002333852454001163,0.0002333852454001163,4.85577184778377e-07,7.9630569908423e-05,4.0394053539592606e-05,1.181909389054805e-05,2.417610024278195e-05,0.0,2.7778197327568213e-06,6.76319975942081e-07,3.877733441128392e-07,0.0,0.0,2.5325081445598264e-05,0.0,0.9976530703720304,24.202173755969852,156.18431790936145,2889244160
32,3808,3808,0.00023774741037019465,0.00023774741037019465,4.904733231565871e-07,8.008498423603467e-05,4.082406504643605e-05,1.2629548028218787e-05,2.4881658757015542e-05,0.0,2.52976053652385e-06,8.374574556430063e-07,4.0470789231137503e-07,0.0,0.0,3.4949107309027265e-05,0.0,0.9977064096817571,24.588846898986958,153.72823359828774,2890137088
33,3927,3927,0.00023372237750442413,0.00023372237750442413,4.964894792970477e-07,7.987557705578014e-05,4.128818912985956e-05,1.1369715589569837e-05,2.3811119212445596e-05,0.0,2.3130215793802536e-06,5.2990954686636e-07,3.7489750647418313e-07,0.0,0.0,6.454804561577649e-05,0.0,0.9977597489914837,25.125725175021216,150.44341899265433,2889244160
34,4046,4046,0.00035771634891658784,0.00035771634891658784,5.201780655750159e-07,8.919067008213864e-05,4.3192318682688185e-05,3.846831668707882e-05,5.1311429044251485e-05,0.0,2.011312783776832e-06,8.266614718520161e-06,1.0345975623456295e-06,0.0,0.0,2.5841803333259166e-05,0.0,0.9978130883012102,24.42611187591683,154.75242311188006,2890137088
35,4165,4165,0.0006899211810724366,0.0006899211810724366,6.064404158283776e-07,0.0001172592842267092,5.009592657510891e-05,0.00011089392825019474,0.00012328802856183043,0.0,2.4300782529304756e-06,1.3480213585122358e-05,2.8031722913823537e-06,0.0,0.0,4.715626976879624e-05,0.0,0.9978664276109368,24.55747501994483,153.92461956817627,2889244160
36,4284,4284,0.00030193140424748577,0.00030193140424748577,5.666427315099528e-07,8.699998818368715e-05,4.7199407154472457e-05,2.346316496619866e-05,3.6148342761893575e-05,0.0,1.6752637306626879e-06,2.205853904596042e-06,6.712128281162135e-07,0.0,0.0,2.543372613997365e-05,0.0,0.9979197669206634,25.018736719037406,151.08676518921516,2890137088
37,4403,4403,0.00028427119783209587,0.00028427119783209587,5.727916710196633e-07,8.675579287921123e-05,4.773599349107672e-05,1.887161842200575e-05,3.1568620087691e-05,0.0,1.513576827795188e-06,1.6343857633348316e-06,5.595784689833313e-07,0.0,0.0,2.7607751101078023e-05,0.0,0.9979731062303899,25.37723406997975,148.95240314907244,2889244160
38,4522,4522,0.002155999106443709,0.002155999106443709,8.872668277468792e-07,0.0002227461233916175,7.257341801758028e-05,0.00043517239475727483,0.0004513360230866869,0.0,1.3043083414404897e-05,5.368717308734419e-05,1.0801405785670757e-05,0.0,0.0,0.00016994810083858846,0.0,0.9980264455401165,24.685044039040804,153.12915763981277,2890137088
39,4641,4641,0.0003722186079285743,0.0003722186079285743,7.662309819409977e-07,9.980934929834412e-05,6.38390984609489e-05,2.809113790790049e-05,4.209610167736799e-05,0.0,2.6032534247697282e-06,1.5861829367634736e-05,7.882966361581499e-07,0.0,0.0,2.880768056673419e-05,0.0,0.9980797848498432,27.09815667301882,139.4928830625473,2889244160
40,4760,4760,0.00030917625109881913,0.00030917625109881913,7.442082249557615e-07,9.40286949145726e-05,6.199519736039398e-05,1.5652861521442583e-05,2.9244846066508675e-05,0.0,1.0380147400802925e-06,2.085238615050171e-06,4.834512385670639e-07,0.0,0.0,2.6664826986061165e-05,0.0,0.9981331241595697,28.879445382975973,130.88894020895071,2890137088
41,4879,4879,0.00028692783073955785,0.00028692783073955785,7.323748355875502e-07,9.271051487842299e-05,6.0985484088108276e-05,1.1072170435567694e-05,2.458090396348828e-05,0.0,9.68068196343473e-07,1.827124860495941e-07,3.723691459108234e-07,0.0,0.0,2.536733263696078e-05,0.0,0.9981864634692963,25.01635999896098,151.10111943372246,2889244160
42,4998,4998,0.00028432246872591024,0.00028432246872591024,7.264527269437465e-07,9.157330838861141e-05,6.0523256382944365e-05,1.0955836975963345e-05,2.4436716565529065e-05,0.0,8.643677655185764e-07,1.5407386230575357e-07,3.691976976742856e-07,0.0,0.0,2.7601501867701743e-05,0.0,0.9982398027790229,25.1985620619962,150.0085596432066,2890137088
43,5117,5117,0.0002821999530569113,0.0002821999530569113,7.185674368725264e-07,9.116624207414499e-05,5.986689447940243e-05,1.0864353531341144e-05,2.433064026205564e-05,0.0,8.307135747494247e-07,1.7486309484179738e-07,3.6661293439397856e-07,0.0,0.0,2.9003030015571442e-05,0.0,0.9982931420887494,24.90031146397814,151.80533004449805,2889244160
44,5236,5236,0.00028109290210835675,0.00028109290210835675,7.11163390102835e-07,9.086647938823613e-05,5.923745549769294e-05,1.0993559570884808e-05,2.4430199827143932e-05,0.0,8.107332876404274e-07,1.884712007746616e-07,3.703128899114889e-07,0.0,0.0,2.9133884977671274e-05,0.0,0.998346481398476,24.908117245999165,151.75775682552472,2890137088
45,5355,5355,0.00027855207629886176,0.00027855207629886176,7.031416615102287e-07,9.030231980547783e-05,5.859749646679986e-05,1.087787170719205e-05,2.4204477790229406e-05,0.0,7.567229828517099e-07,1.9064652793915191e-07,3.6560776854900515e-07,0.0,0.0,3.829453666445001e-05,0.0,0.9983998207082025,24.413359591038898,154.83325782771317,2889244160
46,5474,5474,0.00027743037226462056,0.00027743037226462056,6.945914550207875e-07,8.987633125066865e-05,5.790172934731734e-05,1.1057211723570218e-05,2.4384326858491583e-05,0.0,7.216074298908074e-07,1.342976818382797e-07,3.694755875246287e-07,0.0,0.0,2.3720951234974476e-05,0.0,0.9984531600179292,24.676826054928824,153.1801533789635,2890137088
