epoch,global_step,optimizer_update_step,L_total,L_v0_5,L_K,L_generator,L_multi,L_rec,L_forecast,L_var,L_stability,L_mass,L_operator,L_JEPA_one,L_JEPA_multi,val_rollout,val_jepa,tau,epoch_time,samples_per_sec,peak_gpu_memory
1,119,119,0.030908325085094293,0.02746330666474052,1.0418967011120488e-06,0.0005369272325421984,8.274797050198589e-05,0.006615357659186417,0.006764204050483944,0.0,7.179489372224416e-06,0.0006455087755490414,0.00016557517416736624,0.0017481168748897996,0.0016969016236982027,2.2792964574320995e-05,9.575986862165294e-06,0.9960528910802331,29.46341304690577,128.29470889819308,2950142464
2,238,238,0.00015533710351009315,0.00014654941125107662,1.7348822566009645e-07,6.725637792090999e-05,1.4624101972985377e-05,8.263682634582023e-06,1.6660690236012524e-05,0.0,7.648979650159365e-08,4.773331035286141e-07,2.7003376777386057e-07,2.7942207967623804e-06,5.993470544578808e-06,1.7384261116690358e-05,8.648278960555174e-06,0.9961062303899596,28.758889363962226,131.43762097908828,2971379200
3,357,357,0.0001493871095436305,0.000141087399439014,1.7242288328164312e-07,6.695405965305682e-05,1.453774571475738e-05,7.01925316866316e-06,1.541178383102681e-05,0.0,9.381352766370452e-08,1.1163653791255509e-07,2.3758549437607817e-07,2.46570966400786e-06,5.833999486601599e-06,1.625101554271255e-05,8.520575667197201e-06,0.9961595696996862,29.12426736706402,129.78867253068543,2970682880
4,476,476,0.00014860855881124735,0.0001403929724739298,1.724266091271424e-07,6.692896004385566e-05,1.454176753882575e-05,6.844602872690072e-06,1.5246025211930462e-05,0.0,9.76304742983028e-08,5.052432906570184e-08,2.33328414465153e-07,2.424953847953932e-06,5.790633483792633e-06,1.5237799570535398e-05,8.512049452119321e-06,0.9962129090094128,30.23833971703425,125.00686331897388,2971379200
5,595,595,0.00014946489915480866,0.0001411971043876653,1.7290337035516977e-07,6.688569857807899e-05,1.458801116939713e-05,7.0384461160135706e-06,1.5426773276726998e-05,0.0,8.731554767446478e-08,5.3750332935149144e-08,2.3762298235517187e-07,2.459116088478671e-06,5.808678833615631e-06,1.2762872072579783e-05,8.700478086947917e-06,0.9962662483191393,33.37990006292239,113.24180099025328,2970682880
6,714,714,0.0001503973901635233,0.00014207532221917064,1.733044172771202e-07,6.704269720502592e-05,1.4624975024378814e-05,7.220083825429101e-06,1.5564861308713074e-05,0.0,8.087189253460589e-08,7.065136521254721e-08,2.4327228055924587e-07,2.488855982476337e-06,5.833211450345713e-06,1.989529255730477e-05,8.810956502375553e-06,0.996319587628866,31.263447504956275,120.90797086280222,2971379200
7,833,833,0.0001516681072725939,0.00014320079717050903,1.741309911604158e-07,6.694519661660134e-05,1.4696800284794157e-05,7.4587099863502395e-06,1.585687496309802e-05,0.0,7.659679549303614e-08,1.6044844821790899e-07,2.48215940456686e-07,2.5520595718936186e-06,5.915250352623246e-06,1.9889258120591486e-05,8.644624863119957e-06,0.9963729269385926,29.470963511033915,128.26183977950942,2970682880
8,952,952,0.00015901494695787766,0.000149895278776986,1.7480046924796258e-07,6.7351886175053e-05,1.4750123681979766e-05,8.972926084497308e-06,1.7400976518666737e-05,0.0,7.859671562283275e-08,5.179628296311286e-07,2.869040701418714e-07,2.8724780369124366e-06,6.247189507814168e-06,5.567308714186462e-05,2.051244686559325e-05,0.9964262662483191,30.922791305929422,122.23993502408005,2971379200
9,1071,1071,0.0011627852300763446,0.0010985646091362157,2.004066430876861e-07,8.22032106625749e-05,1.6720905075700972e-05,0.0002383929910946689,0.00025108459515086863,0.0,2.8406872746094894e-07,1.7345681726751128e-05,6.001901622300259e-06,3.0651065830767116e-05,3.356955713816061e-05,0.0022218064684975183,0.0005469280394165599,0.9964796055580457,29.54537917696871,127.93878790178451,2970682880
10,1190,1190,0.0019501518290588465,0.001823575590939197,2.732460866240525e-07,0.00012093982452935682,2.2194030565582645e-05,0.00040287718434926496,0.00041802928880936216,0.0,5.739309000268543e-07,7.929374219899907e-05,1.0173601989297716e-05,6.08707918362352e-05,6.570545451025105e-05,0.001752843741061432,0.0005845021457865923,0.9965329448677723,30.930681871948764,122.20875102750665,2971379200
